profile,k,n,tolerated_loss,overhead_ratio,overhead_pct
4-of-5,4,5,1,1.25,25.0
4-of-6,4,6,2,1.5,50.0
6-of-9,6,9,3,1.5,50.0
7-of-10,7,10,3,1.429,42.9
